ID,Area,Zona777,Z_EOD,N_COM,COMUNA,NMacroZONA,MacroZona,N_ZONATS,ZONA_TS
907,1,08437,135,135,30,CERRO NAVIA,2,PONIENTE,2,J
902,1,855166,56,56,31,RENCA,1,NORTE,1,B
906,19,197298,522,522 - 523,29,PUDAHUEL,7,PONIENTE,7,Outside
214,0,321576,137,137,30,CERRO NAVIA,2,PONIENTE,2,J
900,1,592556,837,56,31,RENCA,1,NORTE,1,B
901,0,184118,136,136,30,CERRO NAVIA,2,PONIENTE,2,J
941,5,255396,556,920,32,QUILICURA,1,NORTE,1,B
584,0,853514,625,494,33,PUENTE ALTO,6,SURORIENTE,6,F
437,0,600518,478,478,14,LA FLORIDA,6,SURORIENTE,6,E
436,2,537003,548,912,14,LA FLORIDA,6,SURORIENTE,6,E
770,0,487478,806,915,26,MAIPU,2,PONIENTE,2,I
771,0,389859,807,915,26,MAIPU,2,PONIENTE,2,I
384,9,957529,439,439,34,SAN BERNARDO,5,SUR,5,G
596,0,193161,634,917,26,MAIPU,2,PONIENTE,2,I
457,0,408568,487,487,14,LA FLORIDA,6,SURORIENTE,6,E
441,0,479067,485,485,14,LA FLORIDA,6,SURORIENTE,6,E
585,0,84014,626,477,14,LA FLORIDA,6,SURORIENTE,6,E
544,1,303116,560,924,34,SAN BERNARDO,5,SUR,5,G
545,17,168463,561,925,34,SAN BERNARDO,5,SUR,5,G
820,3,891815,534,534 -535,35,EXTERNA,7,EXTERNA SUR,7,Outside
375,1,313304,388,388,21,EL BOSQUE,5,SUR,5,G
628,0,976741,665,439,34,SAN BERNARDO,5,SUR,5,G
547,2,454808,563,927,34,SAN BERNARDO,5,SUR,5,G
535,1,019862,550,914,26,MAIPU,2,PONIENTE,2,I
534,2,801899,549,913,26,MAIPU,2,PONIENTE,2,I
663,0,768298,700,156,26,MAIPU,2,PONIENTE,2,I
772,0,688444,808,914,26,MAIPU,2,PONIENTE,2,I
898,1,728456,553,917,26,MAIPU,2,PONIENTE,2,I
536,0,718158,551,915,26,MAIPU,2,PONIENTE,2,I
686,0,168471,723,61,31,RENCA,1,NORTE,1,B
854,0,57746,58,58,31,RENCA,1,NORTE,1,B
868,0,3957,57,57,31,RENCA,1,NORTE,1,B
915,1,766529,70,70,32,QUILICURA,1,NORTE,1,B
579,0,321021,620,487,14,LA FLORIDA,6,SURORIENTE,6,E
578,0,363021,619,485,14,LA FLORIDA,6,SURORIENTE,6,E
577,0,214492,618,481,14,LA FLORIDA,6,SURORIENTE,6,E
353,0,166381,389,389,21,EL BOSQUE,5,SUR,5,G
359,0,192573,392,392,21,EL BOSQUE,5,SUR,5,G
360,0,131697,394,394,21,EL BOSQUE,5,SUR,5,G
626,0,145689,663,389,21,EL BOSQUE,5,SUR,5,G
456,0,485126,486,486,14,LA FLORIDA,6,SURORIENTE,6,E
617,0,295429,654,484,14,LA FLORIDA,6,SURORIENTE,6,E
455,0,311564,484,484,14,LA FLORIDA,6,SURORIENTE,6,E
354,0,488121,386,386,21,EL BOSQUE,5,SUR,5,G
766,0,165125,797,393,21,EL BOSQUE,5,SUR,5,G
358,0,138352,395,395,21,EL BOSQUE,5,SUR,5,G
453,0,425301,483,483,14,LA FLORIDA,6,SURORIENTE,6,E
448,0,189001,482,482,14,LA FLORIDA,6,SURORIENTE,6,E
443,0,312516,475,475,14,LA FLORIDA,6,SURORIENTE,6,E
442,0,430134,479,479,14,LA FLORIDA,6,SURORIENTE,6,E
355,0,17379,390,390,21,EL BOSQUE,5,SUR,5,G
357,0,227258,393,393,21,EL BOSQUE,5,SUR,5,G
765,0,099282,802,395,21,EL BOSQUE,5,SUR,5,G
342,0,247505,354,354,18,SAN RAMON,5,SUR,5,G
347,0,131777,399,399,21,EL BOSQUE,5,SUR,5,G
625,0,316306,662,338,17,LA PINTANA,5,SUR,5,G
618,0,264943,655,483,14,LA FLORIDA,6,SURORIENTE,6,E
620,0,18137,657,488,14,LA FLORIDA,6,SURORIENTE,6,E
452,0,193873,337,337,16,LA GRANJA,5,SUR,5,E
526,0,457107,489,489,14,LA FLORIDA,6,SURORIENTE,6,E
446,0,311472,333,333,16,LA GRANJA,5,SUR,5,E
344,0,145614,355,355,18,SAN RAMON,5,SUR,5,G
573,0,259301,614,338,17,LA PINTANA,5,SUR,5,G
356,1,299595,338,338,17,LA PINTANA,5,SUR,5,G
454,0,250078,336,336,16,LA GRANJA,5,SUR,5,E
574,0,279567,615,339,17,LA PINTANA,5,SUR,5,G
705,0,179924,742,336,16,LA GRANJA,5,SUR,5,E
451,0,235699,335,335,16,LA GRANJA,5,SUR,5,E
343,0,292554,356,356,18,SAN RAMON,5,SUR,5,G
340,0,354457,353,353,18,SAN RAMON,5,SUR,5,G
706,0,196176,743,336,16,LA GRANJA,5,SUR,5,E
767,0,241401,803,338,17,LA PINTANA,5,SUR,5,G
341,0,305293,352,352,18,SAN RAMON,5,SUR,5,G
337,0,316242,349,349,18,SAN RAMON,5,SUR,5,G
447,0,161338,334,334,16,LA GRANJA,5,SUR,5,E
